Index,RawL,RawR,ConvL,ConvR,MaxRL,MaxRR,MaxCL,MaxCR,IdxL,IdxR,VelL,VelR,NoiseL,NoiseR
0,  0.351700,  0.058230,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
1,  0.021700, -0.610770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
2,  0.019700, -0.621770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
3,  0.017700, -0.634770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
4,  0.014700, -0.643770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
5,  0.012700, -0.652770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
6,  0.010700, -0.658770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
7,  0.007700, -0.664770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
8,  0.004700, -0.668770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
9,  0.001700, -0.670770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
10, -0.000300, -0.670770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
11, -0.002300, -0.669770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
12, -0.004300, -0.665770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
13, -0.007300, -0.657770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
14, -0.009300, -0.645770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
15, -0.011300, -0.625770,  0.000000,  0.000000,  1.951300,  1.071230,  0.001000,  0.000550,728.000000,  0.000000,5533.914551,  0.000000,  0.155700,  0.295770
