Id,Index,Encoder,Position,Lab UPT,AmpL,AmpR,SnrL,SnrR,NoiL,NoiR,avgUPT,UPTCnt,IdxL,IdxR,UptL,UptR,UPT-Total,VelL,VelR,SkewL,SkewT,GLenL,GLenR,FreqL,FreqR,ZFAvgL,ZFAvgR,ZStdL,ZStdR,FFreqL,FFreqR,FZFAvgL,FZFAvgR,FZStdL,FZStdR
296193,0,1933890763,0,,2.12302,2.15985,16.2038,26.0694,0.13102,0.08285,444.92,165,754,736,215.429,210.286,425.714,5249.83,5413.61,0.272988,0.181993,44.5261,44.8191,0,0,0,0,0,0,0,0,0,0,0,0
296193,1,1933890772,0.248505,,2.05088,2.1629,19.5545,22.7914,0.10488,0.0949,444.92,165,754,730,215.429,208.571,424,5249.83,5480.56,0.272988,0.181993,44.5261,45.0035,0,0,0,0,0,0,0,0,0,0,0,0
296193,2,1933890785,0.607456,,1.98172,1.02454,21.2449,11.582,0.09328,0.08846,444.92,165,757,732,216.286,209.143,425.429,5218.92,5458.06,0.272988,0.181993,44.44,44.9415,0,0,0,0,0,0,0,0,0,0,0,0
296193,3,1933890800,1.02163,,1.84905,0.95643,18.8582,26.8887,0.09805,0.03557,444.92,165,749,730,214,208.571,422.571,5302.17,5480.56,0.272988,0.181993,44.6719,45.0035,0,0,0,0,0,0,0,0,0,0,0,0
296193,4,1933890810,1.29775,,1.8012,1.56153,36.1687,26.7065,0.0498,0.05847,444.92,165,744,719,212.571,205.429,418,5355.57,5607.7,0.272988,0.181993,44.8205,45.3536,0,0,0,0,0,0,0,0,0,0,0,0
296193,5,1933890820,1.57386,,2.00822,1.74221,29.4374,30.9947,0.06822,0.05621,444.92,165,0,0,0,0,0,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,6,1933890831,1.87759,,2.03671,1.53147,24.9261,18.3344,0.08171,0.08353,444.92,165,748,727,213.714,207.714,421.429,5312.77,5514.66,0.272988,0.181993,44.7014,45.0974,0,0,0,0,0,0,0,0,0,0,0,0
296193,7,1933890841,2.15371,,2.06733,1.52974,22.3907,15.2577,0.09233,0.10026,444.92,165,737,0,210.571,0,210.571,5432.16,0,0.272988,0.181993,45.0338,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,8,1933890849,2.3746,,2.01734,1.52255,21.0886,21.0152,0.09566,0.07245,444.92,165,739,0,211.143,0,211.143,5410.06,0,0.272988,0.181993,44.9722,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,9,1933890865,2.81639,,1.8667,1.5697,18.2473,17.8985,0.1023,0.0877,444.92,165,0,0,0,0,0,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
